Year,Manufacturer,cmb
2000,ACURA,23.428571428571427
2000,ASTON MARTIN,13.25
2000,AUDI,21.423076923076923
2000,BENTLEY,13.0
2000,BMW,20.53846153846154
2000,BUICK,22.5
2000,CADILLAC,19.4
2000,CHEVROLET,21.08974358974359
2000,CHRYSLER,21.214285714285715
2000,DAEWOO,26.4
2000,DODGE,17.77777777777778
2000,FERRARI,11.6
2000,FORD,19.390243902439025
2000,GMC,17.238095238095237
2000,HONDA,27.2
2000,HYUNDAI,25.75
2000,IMPCO,23.5
2000,INFINITI,22.4
2000,ISUZU,18.9
2000,JAGUAR,19.181818181818183
2000,JEEP,18.333333333333332
2000,KIA,22.0
2000,LAND ROVER,14.333333333333334
2000,LEXUS,20.22222222222222
2000,LINCOLN,14.0
2000,LINCOLN-MERCURY,22.157894736842106
2000,LOTUS,18.0
2000,MAZDA,21.310344827586206
2000,MERCEDES-BENZ,20.625
2000,MERCURY,17.4
2000,MITSUBISHI,22.26086956521739
2000,NISSAN,20.6
2000,OLDSMOBILE,22.333333333333332
2000,PLYMOUTH,23.545454545454547
2000,PONTIAC,23.5
2000,PORSCHE,19.75
2000,QVALE,19.0
2000,R-R MTR CARS LTD.,13.0
2000,SAAB,22.65
2000,SATURN,28.6875
2000,SUBARU,24.0
2000,SUZUKI,26.307692307692307
2000,TOYOTA,23.09259259259259
2000,VOLKSWAGEN,26.564102564102566
2000,VOLVO,22.217391304347824
