Year,Manufacturer,cmb
2001,ACURA,22.77777777777778
2001,AUDI,21.4
2001,BENTLEY,13.0
2001,BMW,20.829787234042552
2001,BUICK,22.75
2001,CADILLAC,20.0
2001,CHEVROLET,20.591549295774648
2001,CHRYSLER,22.157894736842106
2001,DAEWOO,25.8
2001,DODGE,17.696428571428573
2001,FERRARI,11.6
2001,FORD,19.379746835443036
2001,GMC,16.512820512820515
2001,HONDA,27.608695652173914
2001,HYUNDAI,25.41176470588235
2001,IMPCO,24.5
2001,INFINITI,21.5
2001,ISUZU,18.526315789473685
2001,JAGUAR,19.454545454545453
2001,JEEP,17.666666666666668
2001,KIA,23.125
2001,LAMBORGHINI,11.0
2001,LAND ROVER,14.333333333333334
2001,LEXUS,19.625
2001,LINCOLN,13.5
2001,LINCOLN-MERCURY,21.2
2001,MAZDA,22.464285714285715
2001,MERCEDES-BENZ,20.413793103448278
2001,MERCURY,17.0
2001,MITSUBISHI,23.045454545454547
2001,NISSAN,19.96551724137931
2001,OLDSMOBILE,22.25
2001,PLYMOUTH,25.333333333333332
2001,PONTIAC,23.523809523809526
2001,PORSCHE,19.3
2001,R-R MTR CARS LTD.,13.5
2001,SAAB,23.15
2001,SATURN,28.8125
2001,SUBARU,24.23076923076923
2001,SUZUKI,24.928571428571427
2001,TOYOTA,23.5
2001,VOLKSWAGEN,27.2
2001,VOLVO,22.916666666666668
