Year,MFR,COMB MPG (GUIDE)
2009,ACURA,20.428571428571427
2009,ASTON MARTIN,13.833333333333334
2009,AUDI,20.10810810810811
2009,BENTLEY,11.571428571428571
2009,BMW,18.78125
2009,BUICK,18.875
2009,CADILLAC,16.821428571428573
2009,CHEVROLET,17.693430656934307
2009,CHRYSLER,18.11111111111111
2009,DODGE,17.203703703703702
2009,FERRARI,12.166666666666666
2009,FORD,18.634615384615383
2009,GMC,15.252747252747254
2009,HONDA,23.88888888888889
2009,HUMMER,15.333333333333334
2009,HYUNDAI,22.0
2009,INFINITI,16.88888888888889
2009,ISUZU,16.0
2009,JAGUAR,18.454545454545453
2009,JEEP,17.43243243243243
2009,KIA,21.291666666666668
2009,LAMBORGHINI,12.875
2009,LAND ROVER,14.666666666666666
2009,LEXUS,19.681818181818183
2009,LINCOLN,16.0
2009,LINCOLN-MERCURY,19.357142857142858
2009,MASERATI,14.5
2009,MAZDA,21.814814814814813
2009,MERCEDES-BENZ,16.28301886792453
2009,MERCURY,20.9
2009,MINI,29.0
2009,MITSUBISHI,19.352941176470587
2009,NISSAN,19.102040816326532
2009,PONTIAC,23.833333333333332
2009,PORSCHE,19.21875
2009,Pontiac,15.0
2009,ROLLS-ROYCE,14.0
2009,ROUSH PERFORMANCE,16.5
2009,SAAB,17.53846153846154
2009,SALEEN PERFORMANCE,14.0
2009,SATURN,22.4
2009,SPYKR,15.0
2009,SUBARU,20.958333333333332
2009,SUZUKI,21.45
2009,TOYOTA,21.161290322580644
2009,VOLKSWAGEN,23.852941176470587
2009,VOLVO,20.78787878787879
2009,VW,19.0
