Year,Mfr Name,Comb FE (Guide) - Conventional Fuel,Comb CO2 Rounded Adjusted (as shown on FE Label)
2018,BMW,24.19083969465649,378.78625954198475
2018,FCA US LLC,21.557894736842105,426.46315789473687
2018,Ferrari,16.88888888888889,533.6666666666666
2018,Ford Motor Company,21.48507462686567,430.57462686567163
2018,General Motors,22.625730994152047,417.2865497076023
2018,Honda,28.155172413793103,326.4310344827586
2018,Hyundai,26.68,358.4
2018,Jaguar Land Rover L,22.857142857142858,410.0
2018,Kia,26.477272727272727,357.8636363636364
2018,Koenigsegg,13.0,654.0
2018,Lotus,19.5,459.5
2018,MAZDA,29.08695652173913,311.4782608695652
2018,Maserati,17.3,514.4
2018,McLaren Automotive,18.8,487.4
2018,Mercedes-Benz,20.426966292134832,449.3258426966292
2018,Mitsubishi Motors Co,28.375,318.4375
2018,Nissan,23.619718309859156,394.49295774647885
2018,Pagani Automobili S,13.0,671.0
2018,Porsche,21.66216216216216,412.8243243243243
2018,RUF,18.0,497.0
2018,Rolls-Royce,14.0,626.8333333333334
2018,Roush,12.0,732.0
2018,Subaru,25.625,351.625
2018,Toyota,25.642105263157895,378.0421052631579
2018,Volkswagen Group of,22.666666666666668,418.81609195402297
2018,Volvo,25.458333333333332,348.7916666666667
2018,aston martin,17.5,504.0
