Model Yr,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),Eng Displ,# Cyl,Trans in FE Guide (MFR entered for data entered after May 13 2011),City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler? ,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,"Trans, Other",# Gears,Trans Lockup,Trans Creeper Gear,Drive Sys,Drive Desc,Max Ethanol % - Gasoline,Max Biodiesel %,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,Gas Guzzler Exempt (Where Truck = 1975 NHTSA truck definition),Gas Guzzler Exempt Desc (Where Truck = 1975 NHTSA truck definition),2Dr Pass Vol,2Dr Lugg Vol,4Dr Pass Vol,4Dr Lugg Vol,Htchbk Pass Vol,Htchbk Lugg Vol,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,City2 FE (Guide) - Alternative Fuel,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,City2 Unadj FE - Alternative Fuel,Hwy2 Unadj FE - Alternative Fuel,Comb2 Unadj FE - Alternative Fuel,City2 Unrd Adj FE - Alternative Fuel,Hwy2 Unrd Adj FE - Alternative Fuel,Cmb2 Unrd Adj FE - Alternative Fuel, Range2 - Alt Fuel Model Typ Driving Range - Alternative Fuel, Fuel2 Usage - Alternative Fuel, Fuel2 Usage Desc - Alternative Fuel,Fuel2 Unit - Alternative Fuel,Fuel2 Unit Desc - Alternative Fuel,Fuel2 Annual Fuel Cost - Alternative Fuel,Fuel2 EPA Calculated Annual Fuel Cost - Alternative Fuel,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date,EPA FE Label Dataset ID,,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Energy Storage Device Desc,"Energy Storage Device,If Other",# Batteries,Battery Type Desc,"Battery Type, If Other",Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity (kg),Fuel Cell Onboard H2 Capacity (kg),HEV-EV Comments,# Drive Motor Gen,Motor Gen Type Desc,"Motor Gen Type, If Other",Rated Motor Gen Power (kW),Fuel Metering Type 1 Desc,Fuel Metering Type 2 Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Eng Mgmt System (Stop/Start Sys) Code,Eng Mgmt System (Stop/Start Sys) Description,Model Type Desc (MFR entered),Charge Depleting Calc Appr Code,Charge Depleting Calc Appr Desc,Charge Sustaining Calc Appr Code,Charge Sustaining Calc Appr Desc,EPA Calculated Annual Fuel Cost,EPA Calculated Gas Guzzler MPG,MFR Calculated Gas Guzzler MPG ,EPA Calculated Gas Guzzler Indicator (Y or N),,,,
2011,aston martin,Aston Martin Lagonda Ltd,V12 Vantage,ASX,9,5.9,12,Manual(M6),11,17,13,13.7271,22.9258,16.7517,,,,G,NA,Naturally Aspirated,M,Manual,,6,N,N,R,"2-Wheel Drive, Rear",,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,3691,3691,,,,,,,,,,,,,,,,,,2,2,1,Two Seaters,car,Derived 5-cycle label,8/9/2010,5394,,N,N,,,N,N,DBS & V12 Vantage power output config (carlines 250 & 253),N,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,Multipoint/sequential fuel injection,,MFI,Multipoint/sequential fuel injection,N,,,,N,No,,,,,,,,,,,,,
2011,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,ASX,2,4.7,8,Auto(AM6),14,20,16,17.0810,27.3512,20.5541,,,,G,NA,Naturally Aspirated,AM,Automated Manual,,6,Y,N,R,"2-Wheel Drive, Rear",,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,3000,3000,,,,,,,,,,,,,,,,,,2,2,1,Two Seaters,car,Derived 5-cycle label,8/9/2010,5396,,N,N,,,N,N,V8 Vantage config (Carline 260),N,,Y,"Electronically controlled, hydraulically actuated intake cam phasing",N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,10W60,Y,Yes,,,,,,,,,,,,,
2011,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,ASX,1,4.7,8,Manual(M6),13,19,15,16.0147,26.5231,19.4895,,,,G,NA,Naturally Aspirated,M,Manual,,6,N,N,R,"2-Wheel Drive, Rear",,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,3202,3202,,,,,,,,,,,,,,,,,,2,2,1,Two Seaters,car,Derived 5-cycle label,8/9/2010,5395,,N,N,,,N,N,V8 Vantage config (Carline 260),N,,Y,"Electronically controlled, hydraulically actuated intake cam phasing",N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,10W60,N,No,,,,,,,,,,,,,
2011,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,ASX,3,4.7,8,Auto(AM7),14,21,16,16.6866,28.7930,20.5806,,,,G,NA,Naturally Aspirated,AM,Automated Manual,,7,Y,N,R,"2-Wheel Drive, Rear",,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,3000,3000,,,,,,,,,,,,,,,,,,2,2,1,Two Seaters,car,Derived 5-cycle label,2/2/2011,5756,,N,N,,,N,N,V8 Vantage S (Carline 261),N,,Y,"Electronically controlled, hydraulically actuated intake cam phasing",N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,10W60,Y,Yes,,,,,,,,,,,,,
2011,Audi,Audi,R8,ADX,73,4.2,8,Auto(AM6),13,21,16,15.9506,26.7678,19.4960,13.2519,20.9953,15.8890,G,NA,Naturally Aspirated,AM,Automated Manual,,6,N,N,A,All Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,3000,3000,,,,,,,,,,,,,,,,,SIDI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,10/4/2010,9689,,N,N,,,N,N,,N,,Y,CONTINUOUS INTAKE AND EXHAUST CAM ADJUSTEMENT,N,,,,,,,,,,,,,,,,,,,,,,,,,Spark Ignition Direct fuel injection,,GDI,Spark Ignition Direct Injection,N,,,,N,No,,,,,,,,19.5,,,,,
2011,Audi,Audi,R8,ADX,75,4.2,8,Manual(M6),11,20,14,13.6465,24.3010,17.0007,11.4441,19.9708,14.1658,G,NA,Naturally Aspirated,M,Manual,,6,N,N,A,All Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,3427,3427,,,,,,,,,,,,,,,,,SIDI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,10/4/2010,9692,,N,N,,,N,N,,N,,Y,CONTINUOUS INTAKE AND EXHAUST CAM ADJUSTEMENT,N,,,,,,,,,,,,,,,,,,,,,,,,,Spark Ignition Direct fuel injection,,GDI,Spark Ignition Direct Injection,N,,,,N,No,,,,,,,,17.0,,,,,
2011,Audi,Audi,R8,ADX,28,5.2,10,Auto(AM6),13,19,15,15.3310,24.3325,18.3929,12.8484,19.2908,15.1208,G,NA,Naturally Aspirated,AM,Automated Manual,,6,N,N,A,All Wheel Drive,,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,3202,3202,,,,,,,,,,,,,,,,,SIDI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,8/27/2010,4509,,N,N,,,N,N,ENGINE CODE BUJ (AUDI R8),N,,Y,INLET AND OUTLET CONTINUOUSLY VARIABLE / MECHANICAL-HYDRAULIC,N,,,,,,,,,,,,,,,,,,,,,,,,,Spark Ignition Direct fuel injection,,GDI,Spark Ignition Direct Injection,N,,,,N,No,,,,,,,,,,,,,
2011,Audi,Audi,R8,ADX,30,5.2,10,Manual(M6),12,19,14,13.7000,23.0667,16.7632,11.5838,19.0061,14.0535,G,NA,Naturally Aspirated,M,Manual,,6,N,N,A,All Wheel Drive,,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,3427,3427,,,,,,,,,,,,,,,,,SIDI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,8/27/2010,4511,,N,N,,,N,N,ENGINE CODE BUJ (AUDI R8),N,,Y,INLET AND OUTLET CONTINUOUSLY VARIABLE / MECHANICAL-HYDRAULIC,N,,,,,,,,,,,,,,,,,,,,,,,,,Spark Ignition Direct fuel injection,,GDI,Spark Ignition Direct Injection,N,,,,N,No,,,,,,,,,,,,,
2011,Audi,Audi,R8 Spyder,ADX,72,4.2,8,Auto(AM6),13,21,16,15.9506,26.7678,19.4960,13.2519,20.9953,15.8890,G,NA,Naturally Aspirated,AM,Automated Manual,,6,N,N,A,All Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,3000,3000,,,,,,,,,,,,,,,,,SIDI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,10/4/2010,9688,,N,N,,,N,N,,N,,Y,CONTINUOUS INTAKE AND EXHAUST CAM ADJUSTEMENT,N,,,,,,,,,,,,,,,,,,,,,,,,,Spark Ignition Direct fuel injection,,GDI,Spark Ignition Direct Injection,N,,,,N,No,,,,,,,,19.5,,,,,
2011,Audi,Audi,R8 Spyder,ADX,74,4.2,8,Manual(M6),11,20,14,13.6465,24.3010,17.0007,11.4441,19.9708,14.1658,G,NA,Naturally Aspirated,M,Manual,,6,N,N,A,All Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,,,3427,3427,,,,,,,,,,,,,,,,,SIDI; ,2,2,1,Two Seaters,car,Vehicle Specific 5-cycle label,10/4/2010,9691,,N,N,,,N,N,,N,,Y,CONTINUOUS INTAKE AND EXHAUST CAM ADJUSTEMENT,N,,,,,,,,,,,,,,,,,,,,,,,,,Spark Ignition Direct fuel injection,,GDI,Spark Ignition Direct Injection,N,,,,N,No,,,,,,,,17.0,,,,,
