Year,Mfr Name,COMB MPG,COMB CO2
1998,BMW,22.29,
1998,FERRARI,11.4,
1998,HONDA,26.14,
1998,JAGUAR,19.17,
1998,LOTUS,18.0,
1998,MERCEDES-BENZ,20.38,
1998,TOYOTA,23.27,
1999,BMW,21.51,
1999,FERRARI,11.4,
1999,HONDA,26.26,
1999,JAGUAR,19.43,
1999,MERCEDES-BENZ,20.68,
1999,TOYOTA,24.45,
2000,BMW,20.54,
2000,FERRARI,11.6,
2000,HONDA,27.2,
2000,JAGUAR,19.18,
2000,LOTUS,18.0,
2000,MERCEDES-BENZ,20.62,
2000,TOYOTA,23.09,
2001,BMW,20.83,
2001,FERRARI,11.6,
2001,HONDA,27.61,
2001,JAGUAR,19.45,
2001,MERCEDES-BENZ,20.41,
2001,TOYOTA,23.5,
2002,BMW,20.88,
2002,FERRARI,12.0,
2002,HONDA,29.62,
2002,JAGUAR,20.07,
2002,MERCEDES-BENZ,19.84,
2002,TOYOTA,23.42,
2003,ALPINA,17.0,
2003,BMW,21.17,
2003,FERRARI,11.57,
2003,HONDA,31.84,
2003,JAGUAR,20.12,
2003,LOTUS,18.0,
2003,MERCEDES-BENZ,19.72,
2003,TOYOTA,23.8,
2004,BMW,21.34,
2004,FERRARI,12.4,
2004,HONDA,32.5,
2004,JAGUAR,20.54,
2004,LOTUS,18.0,
2004,MERCEDES-BENZ,19.38,
2004,TOYOTA,24.57,
2005,BMW,21.0,
2005,FERRARI,12.33,
2005,HONDA,33.64,
2005,JAGUAR,20.81,
2005,LOTUS,25.0,
2005,MERCEDES-BENZ,19.05,
2005,TOYOTA,25.55,
2006,BMW,21.09,
2006,FERRARI,13.25,
2006,HONDA,28.53,
2006,JAGUAR,20.18,
2006,MERCEDES-BENZ,19.42,
2006,TOYOTA,23.83,
2007,ALPINA,18.0,
2007,BMW,21.09,
2007,FERRARI,13.17,
2007,HONDA,26.88,
2007,JAGUAR,20.36,
2007,LOTUS,25.5,
2007,MERCEDES-BENZ,18.12,
2007,TOYOTA,24.12,
2008,ALPINA,16.0,
2008,BMW,18.84,
2008,FERRARI,12.17,
2008,HONDA,23.81,
2008,JAGUAR,18.5,
2008,LOTUS,22.33,
2008,MERCEDES-BENZ,16.83,
2008,TOYOTA,21.6,
2009,BMW,18.78,
2009,FERRARI,12.17,
2009,HONDA,23.89,
2009,JAGUAR,18.45,
2009,MERCEDES-BENZ,16.28,
2009,TOYOTA,21.16,
2010,BMW,20.28,
2010,FERRARI,12.67,
2010,HONDA,24.69,
2010,JAGUAR,18.11,
2010,LOTUS,22.0,
2010,MERCEDES-BENZ,17.61,
2010,TOYOTA,21.79,
2011,BMW,21.69,
2011,FERRARI,13.11,
2011,HONDA,25.75,
2011,JAGUAR,17.8,
2011,LOTUS,21.67,
2011,MERCEDES-BENZ,18.23,
2011,TOYOTA,22.28,
2012,BMW,22.53,
2012,FERRARI,14.0,
2012,HONDA,26.0,
2012,JAGUAR,17.8,
2012,LOTUS,21.5,
2012,MCLAREN AUTOMOTIVE,18.0,
2012,MERCEDES-BENZ,19.7,
2012,TOYOTA,23.33,
2013,BMW,23.59,392.6107382550336
2013,FERRARI,14.1,634.2
2013,HONDA,26.91,345.7674418604651
2013,JAGUAR,18.69,482.7416666666667
2013,LOTUS,21.5,411.25
2013,MERCEDES-BENZ,20.23,459.4533333333333
2013,TOYOTA,23.91,402.17977528089887
2014,BMW,24.96,373.5248226950355
2014,FERRARI,14.15,634.2307692307693
2014,HONDA,27.72,337.04651162790697
2014,JAGUAR,18.76,482.4242424242424
2014,LOTUS,21.25,412.75
2014,MCLAREN AUTOMOTIVE,18.0,501.0
2014,MERCEDES-BENZ,20.65,450.280487804878
2014,TOYOTA,24.33,396.25555555555553
2015,BMW,24.46,377.9259259259259
2015,FERRARI,14.64,616.5714285714286
2015,HONDA,28.32,325.56756756756755
2015,JAGUAR,19.21,471.3529411764706
2015,MCLAREN AUTOMOTIVE,18.0,499.0
2015,MERCEDES-BENZ,21.66,429.9090909090909
2015,TOYOTA,24.67,390.4725274725275
2016,BMW,24.21,380.5035460992908
2016,FERRARI,15.14,605.8571428571429
2016,HONDA,27.9,328.1219512195122
2016,JAGUAR,20.09,453.93939393939394
2016,MCLAREN AUTOMOTIVE,18.14,496.4285714285714
2016,MERCEDES-BENZ,21.33,439.1232876712329
2016,TOYOTA,25.56,381.8064516129032
2017,BMW,23.91,382.763358778626
2017,FERRARI,15.5,586.8333333333334
2017,HONDA,28.25,325.3636363636364
2017,JAGUAR,22.17,427.4878048780488
2017,LOTUS,19.5,459.5
2017,MCLAREN AUTOMOTIVE,19.0,481.0
2017,MERCEDES-BENZ,21.23,441.7857142857143
2017,TOYOTA,25.09,387.6777777777778
2018,BMW,24.19,378.7862595419848
2018,FERRARI,16.89,533.6666666666666
2018,HONDA,28.16,326.4310344827586
2018,JAGUAR,22.86,410.0
2018,LOTUS,19.5,459.5
2018,MCLAREN AUTOMOTIVE,18.8,487.4
2018,MERCEDES-BENZ,20.43,449.3258426966292
2018,TOYOTA,25.64,378.0421052631579
2019,BMW,23.95,379.1065573770492
2019,FERRARI,16.7,537.8
2019,HONDA,28.38,325.921875
2019,JAGUAR,22.22,422.03125
2019,MCLAREN AUTOMOTIVE,17.71,513.0
2019,MERCEDES-BENZ,21.12,434.043956043956
2019,TOYOTA,26.66,367.66336633663366
2020,BMW,23.02,398.0409836065574
2020,FERRARI,15.86,561.0
2020,HONDA,28.58,324.258064516129
2020,JAGUAR,21.65,421.7592592592592
2020,LOTUS,19.75,449.5
2020,MCLAREN AUTOMOTIVE,17.81,506.6875
2020,MERCEDES-BENZ,21.72,419.07865168539325
2020,TOYOTA,27.69,353.2142857142857
2021,BMW,23.75,386.8454545454546
2021,FERRARI,16.29,549.5714285714286
2021,HONDA,29.18,322.825
2021,JAGUAR,21.4,427.57142857142856
2021,LOTUS,20.0,439.5
2021,MCLAREN AUTOMOTIVE,17.67,514.1666666666666
2021,MERCEDES-BENZ,21.8,420.1149425287357
2021,TOYOTA,28.24,347.21875
2022,BMW,23.84,386.4150943396226
2022,FERRARI,16.17,558.8333333333334
2022,HONDA,29.2,321.6222222222222
2022,JAGUAR,20.05,451.05263157894734
2022,MCLAREN AUTOMOTIVE,18.0,505.0
2022,MERCEDES-BENZ,23.71,376.77777777777777
2022,TOYOTA,28.31,343.85714285714283
