Sector,Fuel Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Residential Sector,Coal,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential Sector,Petroleum Products,17.3,16.1,14.8,13.8,16.8,16.8,17.8,19.8,20.3,18.5,15,14.3,15.5,14.6,14.2,13.7,14.6,14.2,13.1,14,17.3,17.5,15.9,16.7,16.7,16.9,13.1,14.4,13.6,10.6,10.1,9.3,10.4,9,10.1,10.5,8.1,7.6,9.7
Residential Sector,Natural Gas,18.1,18.2,18.6,17.5,18.3,17.4,18.4,18.3,19.5,19.9,18.5,18.5,20.7,21,21,20.5,22,20.5,18.5,20.2,21.9,20.6,20.1,22.3,21.4,22.1,19.3,21.7,21.4,21.9,21.2,21.5,19.6,22.9,25.1,24.8,22.6,23.7,26.6
Residential Sector,Total,35.6,34.5,33.6,31.5,35.4,34.4,36.4,38.3,40,38.5,33.6,32.9,36.3,35.7,35.3,34.3,36.6,34.7,31.6,34.3,39.3,38.2,36,39.1,38.1,39.1,32.5,36.2,34.9,32.5,31.3,30.8,30,31.9,35.2,35.3,30.7,31.3,36.3
Commercial Sector,Coal,0.6,0.9,1.2,0.8,0.9,0.8,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.5,0.3,0.4,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0
Commercial Sector,Petroleum Products,19.4,12.8,15.7,12.3,15.6,15.2,18.7,17.5,16.9,16.1,16,15.4,15.4,16,15.4,14.1,13.6,11.8,9.2,10.3,12,11.5,11.6,14.5,15,13.3,11.1,11,10,9.9,8.7,8.4,6.2,5.9,4.5,5.8,5.2,5.1,5.1
Commercial Sector,Natural Gas,8.8,9,8.9,8.8,9.3,9,9.1,9.1,10.3,10.7,10.6,10.9,11.9,12.1,12.2,12.7,13.8,17.5,18.3,19.7,20,19,19.7,18.5,19.6,15,14.1,15.5,15.7,15.2,15.6,15.9,14.8,16.5,17.6,17.1,16.6,17,18.1
Commercial Sector,Total,28.8,22.8,25.8,21.9,25.7,24.9,28.6,27.3,27.7,27.4,27.2,26.8,27.8,28.5,28,27.2,28,29.8,27.8,30.3,32.2,30.8,31.3,33.2,34.9,28.7,25.5,26.8,25.9,25.2,24.3,24.3,21,22.4,22,22.8,21.7,22.1,23.2
Industrial Sector,Coal,13.5,12.8,10,8.4,9.6,8.8,7.6,7.9,8.5,8.8,7.8,7.8,6.7,7.1,7,6.8,6.8,6.8,7.1,6.7,6.9,5.9,4.2,3.9,3.6,3.7,3.5,3.3,3,2.2,2.4,2.4,2.3,2,1.8,1.8,1.3,1.3,0.9
Industrial Sector,Petroleum Products,14.7,10,9.6,6.1,7.1,7.1,6.2,6.5,6.4,6.3,5.8,4.2,4.4,5.1,4.4,3.7,4.3,4,4.2,4,4.2,3.6,3.6,4.1,3.9,4.2,4,3.8,3.3,2.6,2.7,2.9,2.7,2.8,2.6,2.8,2.7,2.7,2.7
Industrial Sector,Natural Gas,6.2,6.6,6,5.3,5.9,5.5,4.8,5.3,5,5.3,5.6,6.5,8.1,7.8,8.8,11.7,11.7,11.3,9.4,5.6,5.3,4.7,5.1,4.6,4.3,4.4,4.3,4.2,4.4,4,4.1,4.1,4.1,4.4,4.6,4.6,4.4,4.5,5
Industrial Sector,Total,34.4,29.3,25.6,19.8,22.6,21.4,18.6,19.6,19.9,20.4,19.1,18.5,19.3,20,20.3,22.2,22.8,22,20.6,16.3,16.5,14.2,12.8,12.5,11.9,12.4,11.7,11.3,10.6,8.7,9.2,9.4,9,9.2,9,9.1,8.5,8.5,8.6
Transportation Sector,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation Sector,Petroleum Products,71.6,67,59.9,54,49,57.8,59,62.2,59.5,59.7,63.6,62,60.5,61.3,60.3,61.9,65.2,65.1,65.6,66,66.4,66.4,67.9,72.7,74.4,72.5,73.4,72.7,72.2,70.2,81.6,76.1,74.5,75.3,79.1,77.2,80.8,81.5,81.8
Transportation Sector,Natural Gas,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.3,0.5,0.5,0.5,0.7,0.8,0.8,0.9,0.8,1,1.2,1.2,1.1,1.8,1.9,1.5,1.4,1.5
Transportation Sector,Total,71.7,67.2,60.1,54.2,49.3,58,59.2,62.5,59.7,59.9,63.8,62.3,60.8,61.7,60.6,62.4,65.7,65.6,66,66.5,66.9,66.7,68.4,73.2,74.9,73.2,74.2,73.6,73,71,82.6,77.3,75.6,76.4,80.9,79.1,82.3,82.9,83.3
Electric Power Sector,Coal,14.9,14.9,15.5,15.7,17.3,18.5,15.1,18.8,22,24.6,24.8,25.1,26.5,23.2,22.5,21.6,22.1,23.4,24.6,23,24.3,23,22.4,23.2,22.4,20.4,20.6,21.1,18.7,12.6,13.5,9.5,4.7,4.5,4.4,2.1,1.5,0.6,0.7
Electric Power Sector,Petroleum Products,32,31.2,27.8,28.7,24.3,21.8,26.4,25.9,32.1,33.6,27.1,22.4,14.5,12,9.8,6.8,8,7,12.2,11.3,12.5,13.8,9.6,15.8,17.3,19.4,5.6,6.7,3,2.1,1.7,0.9,0.4,0.6,1.5,1.3,0.5,0.4,1.1
Electric Power Sector,Natural Gas,6.8,7.1,8.3,7.4,9.3,9.5,7.3,9.5,8.1,10,12.6,12.5,13.9,13.1,15.8,23.4,17.3,22.4,20.5,23.5,20.2,19.3,19.8,14.2,14,16.5,21,22.1,21.6,19.9,23,23.5,27.3,24.9,24.7,25.8,25.8,21.1,22.7
Electric Power Sector,Total,53.7,53.2,51.7,51.9,50.9,49.7,48.8,54.2,62.2,68.3,64.5,60,54.8,48.3,48.1,51.8,47.4,52.9,57.3,57.8,56.9,56.1,51.8,53.2,53.6,56.2,47.2,49.9,43.3,34.6,38.2,33.9,32.3,30.1,30.6,29.2,27.8,22.1,24.5
