resultId,raceId,constructorId,position
1,18,1,1
2,18,2,2
23,19,6,1
24,19,2,2
45,20,6,1
46,20,6,2
67,21,6,1
68,21,6,2
89,22,6,1
90,22,1,2
109,23,1,1
110,23,2,2
129,24,2,1
130,24,2,2
149,25,6,1
150,25,6,2
169,26,1,1
170,26,2,2
189,27,1,1
190,27,4,2
209,28,1,1
210,28,7,2
229,29,6,1
230,29,1,2
249,30,6,1
250,30,2,2
269,31,5,1
270,31,1,2
289,32,4,1
290,32,3,2
309,33,4,1
310,33,2,2
329,34,1,1
330,34,6,2
349,35,6,1
350,35,4,2
369,36,6,1
370,36,1,2
391,37,1,1
392,37,1,2
413,38,6,1
414,38,1,2
435,39,6,1
436,39,1,2
457,40,1,1
458,40,1,2
479,41,1,1
480,41,2,2
501,42,1,1
502,42,1,2
523,43,6,1
524,43,6,2
545,44,6,1
546,44,1,2
567,45,1,1
568,45,6,2
589,46,1,1
590,46,6,2
611,47,6,1
612,47,6,2
633,48,1,1
634,48,1,2
655,49,6,1
656,49,6,2
677,50,1,1
678,50,4,2
699,51,6,1
700,51,1,2
721,52,6,1
722,52,6,2
743,53,4,1
744,53,6,2
765,54,4,1
766,54,4,2
787,55,4,1
788,55,1,2
809,56,6,1
810,56,4,2
831,57,6,1
832,57,4,2
853,58,4,1
854,58,6,2
875,59,4,1
876,59,1,2
897,60,4,1
898,60,6,2
919,61,4,1
920,61,6,2
941,62,6,1
942,62,6,2
963,63,6,1
964,63,4,2
985,64,6,1
986,64,6,2
1007,65,11,1
1008,65,1,2
1029,66,6,1
1030,66,4,2
1051,67,6,1
1052,67,1,2
1073,68,6,1
1074,68,4,2
1095,69,4,1
1096,69,6,2
1117,70,6,1
1118,70,4,2
1139,71,4,1
1140,71,6,2
1159,72,4,1
1160,72,7,2
1179,73,4,1
1180,73,7,2
1199,74,4,1
1200,74,6,2
1219,75,1,1
1220,75,4,2
1237,76,1,1
1238,76,3,2
1255,77,4,1
1256,77,3,2
1275,78,1,1
1276,78,6,2
1295,79,6,1
1296,79,6,2
1315,80,4,1
1316,80,1,2
1335,81,1,1
1336,81,4,2
1355,82,4,1
1356,82,1,2
1375,83,1,1
1376,83,6,2
1395,84,1,1
1396,84,4,2
1415,85,1,1
1416,85,4,2
1435,86,1,1
1436,86,4,2
1455,87,1,1
1456,87,1,2
1475,88,1,1
1476,88,4,2
1495,89,4,1
1496,89,1,2
1515,90,6,1
1516,90,6,2
1535,91,6,1
1536,91,3,2
1555,92,6,1
1556,92,6,2
1575,93,6,1
1576,93,16,2
1595,94,6,1
1596,94,6,2
1615,95,4,1
1616,95,16,2
1635,96,6,1
1636,96,6,2
1655,97,6,1
1656,97,6,2
1675,98,6,1
1676,98,6,2
1695,99,6,1
1696,99,4,2
1715,100,6,1
1716,100,1,2
1735,101,6,1
1736,101,16,2
1755,102,6,1
1756,102,6,2
1775,103,1,1
1776,103,6,2
1795,104,6,1
1796,104,6,2
1815,105,6,1
1816,105,16,2
1835,106,6,1
1836,106,3,2
1855,107,3,1
1856,107,1,2
1875,108,1,1
1876,108,3,2
1895,109,1,1
1896,109,6,2
1915,110,17,1
1916,110,1,2
1935,111,6,1
